iter	Passed	Remaining
959	72426	304793
960	72505	304733
961	72589	304693
962	72652	304568
963	72738	304536
964	72819	304483
965	72899	304426
966	72968	304325
967	73035	304213
968	73106	304119
969	73182	304046
970	73248	303934
971	73309	303797
972	73374	303680
973	73447	303591
974	73523	303520
975	73589	303407
976	73666	303335
977	73745	303274
978	73819	303195
979	73898	303134
980	73979	303082
981	74054	303003
982	74139	302968
983	74221	302918
984	74294	302834
985	74365	302741
986	74436	302649
987	74521	302609
988	74607	302578
989	74683	302507
990	74755	302417
991	74819	302295
992	74882	302168
993	74947	302050
994	75031	302012
995	75107	301937
996	75180	301852
997	75251	301761
998	75314	301634
999	75376	301506
1000	75438	301378
1001	75517	301314
1002	75577	301179
1003	75639	301051
1004	75702	300928
1005	75761	300786
1006	75821	300649
1007	75888	300543
1008	75978	300526
1009	76045	300417
1010	76125	300362
1011	76224	300380
1012	76301	300308
1013	76370	300208
1014	76463	300204
1015	76566	300238
1016	76696	300376
1017	76781	300336
1018	76853	300249
1019	76915	300122
1020	76987	300031
1021	77067	299976
1022	77129	299845
1023	77197	299742
1024	77262	299626
1025	77318	299475
1026	77384	299367
1027	77452	299262
1028	77513	299129
1029	77575	299003
1030	77652	298936
1031	77742	298917
1032	77847	298957
1033	77945	298965
1034	78022	298898
1035	78096	298817
1036	78166	298719
1037	78242	298648
1038	78305	298524
1039	78382	298454
1040	78456	298376
1041	78528	298288
1042	78603	298211
1043	78688	298171
1044	78775	298142
1045	78848	298055
1046	78929	298000
1047	78996	297893
1048	79060	297778
1049	79117	297631
1050	79187	297538
1051	79262	297460
1052	79354	297446
1053	79426	297359
1054	79511	297319
1055	79575	297203
1056	79637	297075
1057	79703	296966
1058	79787	296924
1059	79868	296871
1060	79932	296753
1061	79994	296626
1062	80055	296497
1063	80118	296377
1064	80191	296294
1065	80276	296253
1066	80351	296179
1067	80441	296157
1068	80500	296022
1069	80568	295918
1070	80639	295830
1071	80712	295746
1072	80785	295660
1073	80873	295633
1074	80935	295507
1075	81001	295398
1076	81071	295305
1077	81136	295190
1078	81202	295084
1079	81281	295020
1080	81349	294919
1081	81434	294880
1082	81510	294807
1083	81587	294740
1084	81654	294633
1085	81736	294582
1086	81805	294483
1087	81879	294403
1088	81963	294361
1089	82029	294254
1090	82228	294621
1091	82347	294700
1092	82433	294663
1093	82528	294659
1094	82623	294654
1095	82702	294588
1096	82801	294597
1097	82883	294546
1098	82961	294478
1099	83060	294487
1100	83149	294457
1101	83223	294377
1102	83325	294395
1103	83413	294366
1104	83491	294297
1105	83554	294179
1106	83630	294105
1107	83705	294025
1108	83791	293987
1109	83864	293904
1110	83948	293856
1111	84035	293822
1112	84104	293724
1113	84190	293683
1114	84268	293616
1115	84369	293629
